name,id,code,state_id:id,country_id:id
Bombooflat,setu_pharma_city_bosxxh_an,BOSXXH_AN,base.state_in_an,base.in
Garacharma,setu_pharma_city_gaumbq_an,GAUMBQ_AN,base.state_in_an,base.in
Port Blair,setu_pharma_city_powyqxh_an,POWYQXH_AN,base.state_in_an,base.in
Adilabad,setu_pharma_city_adehwn_ap,ADEHWN_AP,base.state_in_ap,base.in
Adoni,setu_pharma_city_acmxaw_ap,ACMXAW_AP,base.state_in_ap,base.in
Akkarampalle,setu_pharma_city_akkbjzj_ap,AKKBJZJ_AP,base.state_in_ap,base.in
Akkayapalle,setu_pharma_city_aknnjw_ap,AKNNJW_AP,base.state_in_ap,base.in
Alwal,setu_pharma_city_abmyqx_ap,ABMYQX_AP,base.state_in_ap,base.in
Amadalavalasa,setu_pharma_city_amanjmq_ap,AMANJMQ_AP,base.state_in_ap,base.in
Amalapuram,setu_pharma_city_amirby_ap,AMIRBY_AP,base.state_in_ap,base.in
Anakapalle,setu_pharma_city_anrhzy_ap,ANRHZY_AP,base.state_in_ap,base.in
Anantapur,setu_pharma_city_ancbby_ap,ANCBBY_AP,base.state_in_ap,base.in
Asifabad,setu_pharma_city_asjlcy_ap,ASJLCY_AP,base.state_in_ap,base.in
Badepalle,setu_pharma_city_baaslm_ap,BAASLM_AP,base.state_in_ap,base.in
Bandarulanka,setu_pharma_city_banecxax_ap,BANECXAX_AP,base.state_in_ap,base.in
Bapatla,setu_pharma_city_bjgly_ap,BJGLY_AP,base.state_in_ap,base.in
Bellampalle,setu_pharma_city_bexghy_ap,BEXGHY_AP,base.state_in_ap,base.in
Bestavaripeta,setu_pharma_city_besgyqhz_ap,BESGYQHZ_AP,base.state_in_ap,base.in
Bethamcheria,setu_pharma_city_betqbqx_ap,BETQBQX_AP,base.state_in_ap,base.in
Bhadrachalam,setu_pharma_city_bhagrlg_ap,BHAGRLG_AP,base.state_in_ap,base.in
Bhainsa,setu_pharma_city_bbylm_ap,BBYLM_AP,base.state_in_ap,base.in
Bheemavaram,setu_pharma_city_bhnmxaj_ap,BHNMXAJ_AP,base.state_in_ap,base.in
Bheemunipatnam,setu_pharma_city_bhehzyz_ap,BHEHZYZ_AP,base.state_in_ap,base.in
Bhongir,setu_pharma_city_blkqt_ap,BLKQT_AP,base.state_in_ap,base.in
Bobbili,setu_pharma_city_btktc_ap,BTKTC_AP,base.state_in_ap,base.in
Bodhan,setu_pharma_city_byqkbyq_ap,BYQKBYQ_AP,base.state_in_ap,base.in
Bollaram,setu_pharma_city_boecbz_ap,BOECBZ_AP,base.state_in_ap,base.in
Bugganipalle,setu_pharma_city_bugxabhyq_ap,BUGXABHYQ_AP,base.state_in_ap,base.in
Chandur,setu_pharma_city_ceegn_ap,CEEGN_AP,base.state_in_ap,base.in
Chatakonda,setu_pharma_city_chzwhw_ap,CHZWHW_AP,base.state_in_ap,base.in
